yr,qtr,session_to_order_conv_rate,revenue_per_order,revenue_per_session
2012,1,0.0319,49.990000,1.596275
2012,2,0.0304,49.990000,1.517233
2012,3,0.0405,49.990000,2.024222
2012,4,0.0463,49.990000,2.316217
2013,1,0.0642,52.142396,3.346809
2013,2,0.0694,51.538312,3.578211
2013,3,0.0665,51.734533,3.441114
2013,4,0.0645,54.715688,3.530741
2014,1,0.0656,62.160684,4.078136
2014,2,0.0724,64.374207,4.662462
2014,3,0.0706,64.494949,4.554298
2014,4,0.0774,63.793497,4.934885
2015,1,0.0844,62.799917,5.301965
